COMMUNE,fid,Longitude,Latitude,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
Hinche,495.5,-72.0069801025,19.1399908625,145.62574999999998,24.5,3.25,4.25,225,932.5,44763.25,4.6175,300.75,2.4625000000000004,54.25,2244593.5,6.3325000000000005,56.385000000000005,1.7175,64,3,-0.14250000000000002,8.025,1516.5,3.1733809315,0,0,31.75,0.4485,-0.3556,4,4
Ile à Vache,53,-73.63531723,18.07746028,45.9627,59,4,4,0,60,13791,4.14,300,2.48,54,1029092,6.01,74.62,1.87,34,0,-1,2.63,1700,3.230448921,1,0,8,1.43,0.1553,4,4
Jacmel,221.54545454545453,-72.51340024545455,18.309159002727274,40.17885454545455,31.363636363636363,3.272727272727273,4.363636363636363,80,960.9090909090909,19009.454545454544,4.07,394.3636363636364,2.519090909090909,61.45454545454545,432774.63636363635,5.584545454545455,37.730909090909094,1.5136363636363637,57.09090909090909,2.4545454545454546,-0.6154545454545455,25.45909090909091,1653.1818181818182,3.2107792723636366,0.2727272727272727,0,79.18181818181819,0.641,-0.8931727272727272,3.3636363636363638,3.3636363636363638
Jean Rabel,16.857142857142858,-73.16059548428572,19.821308307142857,69.15972857142857,57.285714285714285,1.5714285714285714,3,42.857142857142854,730,28302,4.422857142857143,472.14285714285717,2.6614285714285715,58.42857142857143,880553.7142857143,5.85,28.75142857142857,1.4285714285714286,27.571428571428573,1.4285714285714286,-0.3914285714285714,16.69857142857143,960.1428571428571,2.970714728142857,0.5714285714285714,0,71.14285714285714,0.6052857142857143,-0.23655714285714285,4,4
Jérémie,383,-74.16024615111111,18.564876425555553,46.492177777777776,45.888888888888886,3.7777777777777777,5.888888888888889,31.11111111111111,872.2222222222222,16143.555555555555,4.165555555555556,431.6666666666667,2.56,63.333333333333336,666901.7777777778,5.737777777777778,53.43333333333333,1.5711111111111111,38.333333333333336,3.5555555555555554,-0.18000000000000002,22.9,2487.8888888888887,3.373047508222222,0.3333333333333333,0,76.55555555555556,0.4648888888888889,-0.48865555555555557,3.3333333333333335,3.3333333333333335
Kenscoff,124,-72.28919569,18.402608652,40.77276,34.4,4,5,572,1918,19447,4.258,466.8,2.65,60.2,843705,5.844,43.414,1.588,66.2,7.4,-0.486,37.54,2154.8,3.3301696382,0,0,99.2,0.3426,-0.87726,3.2,3.2
L'Asile,213.75,-73.4162364525,18.3765236225,39.30175,52.75,3.5,4.5,110,830,10442.25,3.945,273.5,2.395,58,457907.75,5.63,51.8375,1.6825,49.75,0,-1,22.9975,1735.75,3.2380342407500002,0,0,70.75,0.43825,-0.49045,3.5,3.5
L'Estere,451,-72.60593095499999,19.353340005,87.0639,72,1.5,2.5,5,560,26433.5,4.415,370,2.505,58,471861.5,5.66,17.585,1.245,36.5,0,-1,9.855,664,2.8001923655,0.5,0,35,0.626,-0.2323,4,4
La Chapelle,498.5,-72.33891840999999,18.9118753,73.178,41.5,4,4.5,60,1295,12877,4.1,174.5,2.24,61,1641886.5,6.199999999999999,126.625,2.105,70.5,7,0.8400000000000001,21.905,1770,3.247633372,0,0,92.5,0.476,-0.32415,3,3
La Tortue,246,-72.76850995000001,20.040105339999997,89.55885,83.5,4,4,0,40,32121.5,4.495,361.5,2.5599999999999996,59.5,2001147,6.28,71.745,1.79,8.5,4,-0.04999999999999999,14.079999999999998,1700,3.230448921,1,0,54.5,9.0385,0.70015,3,3
